location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
Near Park,Penthouse,4688,1,1,1,good,1,10,15986
Suburbs,House,2049,3,4,27,average,2,98,13438
Suburbs,Apartment,3444,1,2,21,average,4,65,12789
City Center,Penthouse,3308,4,2,39,average,2,59,14267
Commercial Area,Villa,2992,3,4,13,excellent,8,46,13394
Commercial Area,Penthouse,4101,3,2,28,poor,7,90,14589
Near Park,Villa,1097,2,3,25,excellent,5,56,8416
City Center,House,3308,3,4,22,good,6,93,18765
Near Park,Studio,4861,5,3,18,good,6,38,18665
Outskirts,Apartment,5133,1,3,5,good,6,68,14698
City Center,House,5694,2,2,19,average,7,40,14911
Commercial Area,Penthouse,2503,6,4,5,excellent,0,76,17413
Near Park,Studio,1011,2,4,11,good,1,19,8976
City Center,Villa,3100,4,2,36,poor,4,30,14447
City Center,Penthouse,1462,4,2,0,excellent,7,20,11576
Suburbs,House,4785,5,1,8,poor,6,19,16227
City Center,House,4715,4,3,38,excellent,1,80,19995
City Center,Studio,1594,6,4,32,poor,6,56,15640
Commercial Area,Penthouse,1605,3,3,11,excellent,0,5,10179
Outskirts,Penthouse,1164,5,3,3,excellent,4,75,14255
Near Park,Villa,5497,1,2,31,poor,5,90,21181
Outskirts,House,448,6,3,14,good,1,50,13053
City Center,Apartment,2663,5,4,38,poor,1,89,19785
Commercial Area,House,3598,1,4,35,good,8,77,17849
Commercial Area,Apartment,3736,4,4,12,good,8,6,18893
Commercial Area,Studio,2356,3,4,36,good,7,72,13927
Commercial Area,Studio,5298,1,2,14,excellent,5,68,16733
Suburbs,House,5574,1,2,22,average,7,73,18386
City Center,House,5295,5,2,29,good,4,94,19079
Suburbs,Apartment,505,2,1,17,excellent,8,5,7336
Suburbs,House,3934,3,3,9,poor,7,21,14054
City Center,Studio,4190,2,2,0,excellent,5,80,15602
Commercial Area,Studio,2981,6,4,13,excellent,3,36,20037
Near Park,Villa,4161,5,1,27,average,7,36,17946
Commercial Area,Apartment,1586,2,1,32,poor,0,88,10720
Commercial Area,Penthouse,3506,3,2,10,average,8,7,14344
Suburbs,House,2610,2,2,14,good,4,49,9974
Outskirts,Studio,2142,3,4,19,poor,3,69,13415
Commercial Area,Apartment,5237,3,2,3,poor,9,16,23137
City Center,Villa,951,3,1,31,excellent,6,44,6959
City Center,Apartment,488,1,4,4,poor,4,78,9136
City Center,House,5384,4,4,6,poor,4,86,24146
Suburbs,Penthouse,2395,5,1,31,poor,4,59,15503
Near Park,Apartment,3857,5,2,34,excellent,1,86,20297
Near Park,House,3741,4,2,15,poor,3,49,17779
Near Park,Villa,1129,3,1,34,poor,3,26,6264
Commercial Area,Apartment,5451,3,3,39,poor,7,33,25092
Commercial Area,House,5463,6,4,37,poor,8,94,22826
Outskirts,Apartment,2831,6,3,5,good,3,79,19510
Outskirts,Apartment,4949,1,4,37,poor,3,16,14076
Outskirts,Villa,4951,1,1,37,good,1,65,18381
Suburbs,Apartment,2266,1,3,30,good,2,95,11794
Near Park,Villa,1074,5,3,14,excellent,0,4,11247
Commercial Area,Apartment,1898,6,3,20,excellent,8,84,16581
Outskirts,Studio,4442,6,4,31,poor,1,59,22617
Suburbs,Penthouse,5254,2,3,17,good,5,56,21852
Outskirts,Penthouse,3524,6,3,33,average,1,78,19913
Commercial Area,Studio,1292,5,2,15,average,0,36,12039
Outskirts,Penthouse,5587,3,2,24,good,6,5,22610
Suburbs,Villa,3509,5,3,23,poor,5,47,20053
Suburbs,House,1825,3,3,18,excellent,7,40,10923
Outskirts,Villa,4981,2,4,4,good,7,4,15381
Commercial Area,House,689,2,4,20,poor,6,17,7668
Suburbs,Villa,3484,3,4,24,poor,3,21,13660
Near Park,Villa,4770,3,2,29,good,0,17,15595
Suburbs,House,4171,1,3,7,excellent,4,57,12192
City Center,Studio,932,2,3,36,excellent,1,27,6695
Outskirts,Studio,842,5,1,15,excellent,0,26,9734
Near Park,Studio,5317,4,1,23,poor,2,35,16164
Commercial Area,Studio,4566,5,4,7,good,4,26,25624
Near Park,Villa,1604,4,4,1,poor,8,1,13937
Suburbs,Villa,3058,3,1,5,excellent,8,32,16293
Suburbs,Apartment,366,4,1,39,excellent,2,13,6752
City Center,Penthouse,4016,1,1,23,poor,9,88,17718
Near Park,Apartment,3092,6,1,19,good,0,72,17279
Suburbs,Penthouse,1688,6,2,0,excellent,4,62,16731
Commercial Area,Penthouse,2066,5,2,22,good,3,19,13014
Commercial Area,Villa,343,2,1,10,poor,2,39,4239
Near Park,Studio,1192,4,4,34,good,9,82,13921
Near Park,House,5136,4,3,11,average,2,13,23890
City Center,Villa,3049,3,3,35,good,4,38,13977
Near Park,House,4741,1,3,33,poor,3,88,12640
Commercial Area,Apartment,1139,4,4,39,average,9,30,10118
Near Park,Studio,3369,3,4,24,excellent,9,51,21597
Suburbs,Apartment,3420,4,3,36,excellent,5,34,13869
Suburbs,Studio,2109,4,2,4,poor,4,53,14420
Near Park,Villa,1974,4,4,30,average,6,58,16255
Outskirts,House,3727,4,4,14,average,5,54,22799
Near Park,Studio,3130,5,1,30,average,3,87,16759
City Center,Penthouse,1533,4,4,13,excellent,1,30,11514
Commercial Area,Villa,4008,5,2,31,excellent,2,72,19051
Commercial Area,Villa,5273,1,2,30,good,4,77,22992
Near Park,Studio,551,4,1,35,excellent,6,48,8268
Outskirts,Studio,2652,4,1,31,excellent,4,55,13934
Commercial Area,Apartment,989,5,2,10,poor,9,34,13294
Outskirts,Villa,441,3,3,10,poor,6,87,9963
Commercial Area,Penthouse,5960,3,1,33,good,2,70,23871
Suburbs,House,2197,2,1,18,good,0,86,10970
City Center,Penthouse,2534,4,3,3,average,8,28,17254
Commercial Area,House,4521,2,3,22,excellent,6,68,18575
Near Park,Apartment,4285,2,1,2,average,2,52,12914
Suburbs,Studio,1849,3,4,35,excellent,3,48,13643
Outskirts,House,3177,6,3,11,poor,8,78,17240
City Center,Penthouse,1104,6,3,13,good,4,42,13695
Outskirts,Studio,4631,6,3,13,good,7,68,22521
Outskirts,Penthouse,5647,3,2,1,poor,3,21,16065
Commercial Area,Apartment,4811,5,1,34,poor,5,27,23344
Suburbs,Apartment,2018,5,2,19,average,5,35,12632
City Center,Penthouse,5469,4,3,17,excellent,6,41,19432
Suburbs,Penthouse,1254,5,4,37,poor,6,53,14689
Suburbs,Penthouse,3507,4,1,32,poor,7,76,19175
Commercial Area,House,4655,5,3,18,average,9,18,23617
Outskirts,Villa,2791,6,1,14,average,5,39,17028
Suburbs,Villa,3560,4,2,7,good,9,24,18335
Outskirts,Villa,2581,1,1,23,poor,9,61,13060
Suburbs,House,2373,2,2,30,good,4,16,8516
City Center,Villa,4645,5,2,39,average,4,38,18034
Near Park,Villa,2142,1,3,3,good,3,21,9454
Near Park,Villa,5563,6,1,33,poor,2,46,22581
Near Park,Penthouse,2218,1,3,2,excellent,0,59,12418
Commercial Area,House,4532,6,2,22,average,8,52,24746
Commercial Area,Penthouse,3230,1,2,12,poor,2,95,14720
Outskirts,Penthouse,5207,1,2,3,average,4,97,16831
Commercial Area,Studio,5322,3,4,22,poor,8,88,21985
Near Park,House,2318,2,2,32,average,4,90,13299
Commercial Area,Apartment,5456,4,1,27,poor,7,43,24220
Near Park,House,1248,4,2,38,good,3,83,12142
Suburbs,Villa,808,6,2,35,poor,1,11,12091
Near Park,Apartment,4142,6,1,35,poor,3,25,17024
Near Park,Penthouse,834,3,3,18,poor,4,40,10008
City Center,House,598,6,2,25,good,8,18,11634
City Center,Villa,1382,1,3,21,good,4,37,6763
City Center,Apartment,2813,5,2,16,poor,7,47,16584
City Center,Studio,5390,2,1,11,poor,9,3,19314
Near Park,Studio,5653,2,1,9,good,0,53,17774
Outskirts,House,1067,5,3,15,good,1,9,11221
City Center,Studio,4539,4,4,10,poor,1,6,16079
Commercial Area,Villa,4414,1,3,8,excellent,8,43,15741
Commercial Area,Apartment,301,3,1,29,good,6,54,6609
Commercial Area,House,5138,1,1,35,good,6,79,17038
Near Park,Villa,5954,5,3,31,excellent,7,86,29453
Suburbs,House,1760,5,1,15,poor,2,88,14523
Suburbs,Studio,4745,3,4,14,poor,3,68,18432
City Center,Villa,5732,5,4,35,average,4,7,24271
Commercial Area,Studio,1425,4,1,37,excellent,4,79,11999
City Center,Studio,3788,4,2,2,excellent,0,21,17410
Near Park,Villa,1451,4,2,18,excellent,5,70,13114
Commercial Area,Apartment,1113,3,4,30,excellent,3,88,9796
City Center,Penthouse,2183,4,2,20,good,1,77,15787
Outskirts,Apartment,2281,4,3,35,excellent,1,63,11697
Near Park,Apartment,2242,4,3,1,average,8,90,15703
Near Park,Apartment,422,2,4,3,good,4,45,8015
Near Park,House,1986,3,4,27,good,2,64,14979
Outskirts,Penthouse,522,3,4,21,poor,4,99,11105
Suburbs,House,1976,4,4,15,poor,0,16,11133
Suburbs,House,1539,5,2,28,excellent,3,85,13401
Outskirts,Studio,1470,6,1,13,good,8,5,13588
Suburbs,House,3851,6,3,6,excellent,0,92,24194
Outskirts,Apartment,3079,6,1,18,poor,9,38,19815
City Center,Apartment,2365,3,4,24,average,5,81,16377
Outskirts,Studio,4655,3,2,11,excellent,8,26,21714
Suburbs,Penthouse,2746,5,4,5,good,0,48,18349
Outskirts,Villa,2235,4,3,28,average,3,18,12896
Outskirts,Villa,4545,2,2,5,poor,3,1,16219
Commercial Area,Penthouse,1033,1,1,18,poor,0,43,6175
Outskirts,Penthouse,5352,5,3,19,poor,3,8,22739
Suburbs,House,5313,1,1,24,poor,8,59,21820
Near Park,House,1398,6,2,32,poor,6,28,13978
City Center,House,5730,5,4,18,good,9,47,23555
Outskirts,Apartment,3739,2,3,5,poor,5,51,15930
Suburbs,Penthouse,1887,6,2,1,poor,3,31,13336
Suburbs,Penthouse,541,2,1,28,good,8,90,7285
Commercial Area,House,3180,4,2,10,average,9,4,14798
Suburbs,Penthouse,2863,1,2,9,excellent,9,87,13110
Near Park,Apartment,3429,2,1,39,excellent,0,14,12522
Suburbs,Penthouse,535,3,1,19,excellent,3,14,7257
Near Park,Villa,1193,2,1,17,average,6,97,10113
City Center,Apartment,4615,4,3,11,average,0,51,18843
Outskirts,House,348,2,3,18,poor,8,81,8212
City Center,Studio,3299,6,1,12,excellent,2,65,16164
Outskirts,Villa,3458,5,1,5,poor,3,25,15972
City Center,Apartment,3203,5,1,27,average,6,1,15862
Near Park,Studio,5592,1,4,17,poor,4,22,14549
Outskirts,Apartment,1370,5,1,17,poor,0,32,9794
Outskirts,Villa,3689,1,3,25,poor,1,46,14621
City Center,Penthouse,1088,1,2,7,average,9,85,9594
Commercial Area,House,1474,1,3,35,poor,0,90,9127
Commercial Area,Apartment,2367,6,4,35,excellent,2,21,15511
City Center,House,3979,3,1,38,good,2,85,12841
Suburbs,Apartment,2584,1,3,23,poor,8,42,12223
City Center,Apartment,1192,5,4,36,good,5,44,13589
Near Park,Studio,2763,5,1,35,poor,7,8,14479
Near Park,Villa,1529,2,3,22,poor,4,96,10352
Suburbs,Apartment,3395,2,2,37,average,7,27,11450
Commercial Area,Studio,2319,5,3,39,excellent,1,63,16931
Near Park,Villa,1542,6,2,23,average,7,63,15781
Near Park,Villa,1300,3,4,0,good,9,65,13746
Outskirts,Apartment,1044,4,2,34,good,6,73,11876
Outskirts,Villa,2998,1,1,8,good,2,66,13043
Suburbs,Villa,4057,2,1,37,poor,6,9,14014
Near Park,Penthouse,5838,5,4,6,excellent,5,54,19776
City Center,House,4484,1,3,17,good,3,89,17406
Commercial Area,Penthouse,1394,2,2,20,good,7,93,10371
Suburbs,Villa,4269,1,4,23,average,2,26,18820
City Center,Penthouse,4250,1,3,33,average,6,72,18932
City Center,Penthouse,3038,6,2,22,good,1,58,14322
Suburbs,Studio,2893,4,4,7,poor,4,71,20302
Suburbs,House,3442,1,2,17,excellent,2,25,11943
Near Park,Apartment,2687,2,4,3,good,8,67,15177
Commercial Area,Apartment,1545,1,4,29,poor,1,22,6543
Near Park,Studio,5740,6,3,33,good,1,76,30409
City Center,Apartment,3016,1,4,26,good,1,76,12647
Near Park,Penthouse,1200,3,3,23,good,0,64,11140
Near Park,Villa,4846,4,4,39,excellent,8,6,22713
Commercial Area,Penthouse,5577,3,3,30,good,6,24,16879
Outskirts,Penthouse,1468,1,3,32,good,5,23,7500
Commercial Area,Studio,4641,1,2,10,good,8,29,17221
Near Park,House,3873,5,2,11,excellent,7,82,20326
Outskirts,Penthouse,5801,2,3,16,excellent,1,7,16883
City Center,Studio,4947,6,3,20,good,2,76,21571
Commercial Area,Studio,2550,2,1,37,average,9,93,12992
Suburbs,Villa,2527,2,3,10,poor,1,28,14273
City Center,Studio,2541,6,3,35,good,1,54,19157
Outskirts,Penthouse,4625,5,2,22,poor,4,79,24398
City Center,Apartment,3492,1,2,29,poor,3,47,9454
Suburbs,Apartment,756,6,3,30,excellent,6,45,12250
Suburbs,Penthouse,4986,1,1,6,poor,9,53,16573
Commercial Area,Apartment,3472,6,1,26,excellent,7,93,23198
Commercial Area,Villa,3423,5,2,6,excellent,2,24,19908
Near Park,House,5815,2,2,7,poor,2,13,21483
Near Park,Studio,4624,4,4,24,poor,2,30,23648
City Center,House,4251,5,4,8,good,4,78,25191
Suburbs,Apartment,548,6,2,33,good,7,6,10290
City Center,House,1896,1,2,12,poor,4,4,9061
Outskirts,Villa,2132,1,1,7,average,4,21,7265
Outskirts,Apartment,3304,2,1,26,average,8,75,14709
Near Park,Studio,2295,4,2,37,excellent,9,30,13563
City Center,Penthouse,343,5,3,10,poor,8,78,11632
Outskirts,Villa,5321,6,3,15,excellent,6,42,29356
Near Park,Apartment,5623,1,2,31,average,1,11,13719
City Center,Villa,5427,3,3,31,excellent,8,19,22428
Suburbs,Penthouse,1451,3,2,20,average,2,36,9244
Outskirts,Studio,3247,6,3,20,poor,9,4,19902
Outskirts,House,3808,2,2,17,average,3,40,15229
Suburbs,Villa,3848,6,3,29,average,3,35,23041
Near Park,Penthouse,1817,5,4,29,good,5,64,13221
Outskirts,Villa,1007,3,1,13,excellent,2,19,6822
Suburbs,Penthouse,2490,1,2,19,good,5,56,9088
Near Park,Villa,546,6,2,14,average,2,61,11959
Commercial Area,Penthouse,5431,3,2,19,average,9,15,16409
Near Park,House,2859,6,3,29,poor,0,99,21044
Outskirts,Villa,4159,3,4,10,poor,2,3,14884
Near Park,House,5021,3,2,23,poor,5,59,15891
Outskirts,Penthouse,5403,1,4,23,excellent,0,34,13968
Near Park,Villa,1933,6,1,36,good,6,15,12921
Commercial Area,Villa,763,5,4,7,poor,2,16,11008
Near Park,Penthouse,846,5,4,8,poor,2,3,11589
Commercial Area,House,2634,1,4,2,excellent,4,74,12533
Outskirts,Penthouse,3939,2,2,30,good,0,70,15150
Near Park,Studio,3698,2,1,20,good,2,81,13252
Suburbs,Penthouse,1878,4,4,26,average,8,11,14540
Commercial Area,House,1529,1,3,12,average,6,56,10820
City Center,Studio,2968,1,4,31,good,1,24,8585
Commercial Area,Studio,2667,6,3,17,good,8,79,18257
Near Park,Studio,2599,1,4,14,average,7,31,12637
Commercial Area,Studio,1227,4,4,32,excellent,1,95,13345
Near Park,Villa,5698,5,4,21,good,6,30,27869
Outskirts,Apartment,5284,4,3,24,good,7,86,18726
Outskirts,Penthouse,3927,4,1,15,excellent,0,49,16818
Suburbs,Studio,1614,3,4,28,excellent,3,28,10457
City Center,Villa,4388,2,4,2,good,7,58,21557
Outskirts,House,3548,2,3,29,poor,6,35,15557
Suburbs,Studio,384,3,2,35,good,4,14,5439
City Center,Studio,1962,1,2,7,average,3,20,8272
Suburbs,House,3805,3,1,25,good,3,83,12769
Outskirts,Apartment,5657,1,2,19,average,4,59,19485
City Center,Apartment,4911,2,2,6,excellent,5,88,17810
Outskirts,Villa,5117,2,2,12,excellent,1,68,18498
Near Park,House,3349,5,1,34,good,6,16,16286
City Center,Apartment,3451,3,2,39,good,5,29,11284
Suburbs,Studio,4023,6,2,24,excellent,9,74,22695
Near Park,Studio,5086,3,3,6,average,8,54,18118
Suburbs,Penthouse,1441,6,3,28,good,0,64,13735
Outskirts,Penthouse,5047,6,2,5,average,7,39,23609
Outskirts,Apartment,1770,3,4,30,excellent,4,89,11961
Near Park,Penthouse,2455,2,2,2,average,0,34,12575
Near Park,Villa,1444,5,1,3,good,6,79,14926
City Center,Penthouse,2890,4,1,24,excellent,8,40,11910
Suburbs,Villa,665,4,1,13,good,8,23,9889
Commercial Area,Studio,984,6,3,18,excellent,7,60,11702
Outskirts,Apartment,3394,1,3,27,average,8,79,17519
Commercial Area,Villa,5844,2,3,11,poor,2,43,23419
Commercial Area,Apartment,4562,2,4,32,poor,1,88,21812
Near Park,Penthouse,5108,5,1,17,poor,4,1,21348
Suburbs,Villa,2917,5,3,38,good,9,21,18089
Commercial Area,House,4843,5,4,32,average,4,5,24329
Suburbs,Penthouse,2647,4,4,24,poor,0,51,12941
Near Park,Apartment,2531,2,4,29,average,9,30,11138
Commercial Area,Penthouse,1321,4,3,28,excellent,4,20,9650
Commercial Area,Studio,463,4,2,34,average,9,72,9417
Outskirts,House,4003,5,1,2,excellent,4,63,19240
Commercial Area,Apartment,3516,2,1,13,excellent,4,28,12193
City Center,House,5077,5,1,33,average,4,56,17995
Near Park,House,4770,5,3,11,good,2,80,19646
City Center,House,4889,4,3,36,poor,0,2,16103
Commercial Area,Apartment,1331,2,1,6,poor,2,46,8836
Commercial Area,Studio,1123,4,2,25,good,2,70,10476
City Center,House,4647,4,1,23,poor,3,71,20439
Outskirts,House,4733,4,4,27,average,8,17,22365
Outskirts,Villa,3199,3,1,19,average,1,9,12458
City Center,Penthouse,3544,4,4,39,poor,3,12,14714
City Center,Apartment,1982,6,2,33,excellent,5,98,14968
Near Park,Apartment,2556,3,2,28,excellent,9,70,14646
Outskirts,Penthouse,5314,5,4,25,excellent,9,89,27030
Suburbs,Studio,586,2,1,18,average,3,72,5853
Commercial Area,Villa,2478,4,2,29,average,6,99,14274
Commercial Area,Villa,2807,1,3,15,poor,8,25,11274
City Center,Apartment,3062,6,4,0,poor,0,10,21468
Suburbs,Villa,2004,6,4,35,good,9,9,15503
Outskirts,Penthouse,3371,1,1,5,good,2,58,13670
Outskirts,House,808,6,3,32,excellent,5,67,13872
Outskirts,Apartment,1802,6,1,22,poor,7,91,14985
City Center,Apartment,5406,6,4,30,excellent,5,97,29644
City Center,Apartment,3974,1,1,21,poor,1,55,13185
Commercial Area,Villa,3324,4,1,14,poor,9,84,18689
Commercial Area,Apartment,593,6,4,16,poor,5,89,14458
Outskirts,Apartment,5995,5,2,30,poor,0,11,23731
Commercial Area,Studio,5949,2,3,24,excellent,1,89,20282
Commercial Area,Apartment,3856,2,3,27,average,7,91,21050
Outskirts,Penthouse,2040,2,1,35,average,5,37,11824
City Center,Villa,5785,4,2,18,average,5,34,21135
Commercial Area,Apartment,5049,3,4,6,average,3,88,19301
City Center,Penthouse,2880,6,1,0,average,8,35,14500
Suburbs,Villa,4951,1,4,2,poor,4,68,19689
City Center,Villa,2923,4,2,32,poor,5,92,15180
Near Park,Apartment,4903,6,2,38,good,8,53,18953
Near Park,Villa,4059,3,3,39,good,0,90,17755
Outskirts,Penthouse,1897,6,2,29,poor,7,40,15398
Near Park,Studio,3164,2,3,35,poor,7,12,12573
Suburbs,House,4249,6,2,15,average,7,56,23791
City Center,Apartment,4451,4,2,39,poor,1,16,20035
City Center,Villa,3681,2,2,0,average,4,51,15353
Commercial Area,Studio,2928,1,2,32,poor,5,32,14067
Commercial Area,Penthouse,4495,1,2,19,excellent,8,18,19769
Commercial Area,Villa,1023,5,4,39,good,4,89,13503
City Center,Penthouse,4947,1,2,35,average,5,27,14775
City Center,House,2991,1,1,3,good,9,59,10103
Commercial Area,Villa,1932,6,2,34,average,9,9,13853
City Center,House,623,1,4,13,excellent,7,86,7870
Suburbs,Penthouse,1597,1,4,18,good,6,56,10904
Commercial Area,House,2287,3,3,14,good,8,35,14707
Near Park,Studio,2516,6,2,3,poor,7,70,15921
Commercial Area,Studio,2062,6,1,38,average,1,5,11472
Near Park,Penthouse,1674,3,2,14,good,9,30,11400
Outskirts,Villa,1543,6,2,6,poor,0,5,12180
Near Park,Penthouse,1778,1,4,17,poor,9,53,11252
Suburbs,House,1889,2,2,1,poor,6,42,12510
City Center,Apartment,3420,3,3,22,good,4,75,15950
Suburbs,Apartment,1387,3,4,4,poor,1,63,12199
Outskirts,Studio,1100,2,1,10,poor,7,28,7412
Suburbs,Studio,3659,5,2,23,good,8,14,18567
Suburbs,Apartment,1935,5,2,22,average,8,20,13595
Outskirts,House,4884,6,2,8,average,9,21,18970
Suburbs,Penthouse,1476,6,4,1,poor,5,83,17534
Outskirts,Villa,1310,1,3,15,average,2,86,8532
City Center,Apartment,1839,2,1,14,good,5,48,8037
Commercial Area,House,5671,3,4,18,good,7,24,21105
City Center,Penthouse,1955,2,3,2,poor,6,16,11012
City Center,Apartment,2389,1,4,14,excellent,2,5,9176
City Center,Villa,2999,3,4,18,poor,2,97,16856
Suburbs,Penthouse,977,3,2,26,excellent,5,65,10711
City Center,House,2123,4,3,22,poor,6,79,13675
Outskirts,Villa,3408,3,1,1,poor,1,51,15781
Outskirts,Apartment,1659,1,3,12,excellent,8,42,11029
Outskirts,Studio,3441,2,3,19,poor,1,2,12094
Outskirts,Studio,5158,5,1,29,average,6,36,24501
City Center,House,4628,3,3,11,good,6,2,18793
Near Park,Studio,2203,2,3,10,good,8,70,11396
Commercial Area,Penthouse,1089,5,3,39,average,6,64,12513
Near Park,Studio,3840,5,1,33,excellent,8,31,14576
Suburbs,Studio,4977,5,2,16,average,0,19,21321
City Center,Penthouse,415,5,3,26,excellent,1,94,11794
Near Park,House,571,3,3,25,excellent,8,81,10057
City Center,Apartment,872,6,3,21,average,4,22,12594
Outskirts,House,2968,2,3,23,average,9,39,16859
Suburbs,Studio,2087,4,4,33,poor,8,33,13442
Near Park,House,4449,4,1,19,good,3,76,19933
Commercial Area,Apartment,5559,3,1,16,excellent,4,10,13695
Outskirts,Penthouse,5022,5,1,15,excellent,2,41,17877
Outskirts,Penthouse,5806,4,2,15,average,7,94,22521
Suburbs,Penthouse,4896,4,2,19,average,0,25,21488
Outskirts,House,397,3,4,37,excellent,3,33,8614
Outskirts,Studio,5016,4,4,36,good,2,15,27020
Near Park,Penthouse,2030,3,2,6,average,0,78,12819
Outskirts,Studio,2499,2,4,22,poor,3,17,13721
Suburbs,Villa,5686,5,4,16,good,1,42,26464
City Center,Penthouse,3251,6,4,3,good,9,53,21299
Suburbs,Apartment,1268,6,2,27,poor,1,46,12527
Suburbs,Studio,4231,5,2,22,excellent,9,69,19607
City Center,Villa,1783,2,2,10,poor,6,50,10399
Near Park,Penthouse,5677,2,2,34,poor,0,45,13717
Commercial Area,Studio,2525,2,4,22,excellent,5,90,13144
Commercial Area,Studio,2100,2,1,24,average,6,30,8460
Suburbs,Villa,2242,3,4,16,excellent,4,89,14206
Near Park,Apartment,5135,5,2,11,average,0,62,25805
Near Park,House,2103,6,1,28,good,4,86,16132
Near Park,Apartment,4495,5,3,11,average,2,37,23705
Near Park,House,570,3,3,39,good,3,35,8750
Suburbs,Apartment,4700,3,3,22,good,7,8,14779
Outskirts,Apartment,358,1,3,9,average,9,38,6505
Commercial Area,Penthouse,5075,1,4,33,poor,5,64,16573
Commercial Area,Studio,5641,1,4,19,excellent,6,17,14446
City Center,Apartment,5374,3,2,23,average,4,6,16057
Suburbs,Studio,3477,1,2,28,good,1,20,13366
Commercial Area,Studio,3545,6,1,26,average,0,92,18442
Suburbs,Studio,1486,1,1,18,excellent,3,83,6531
Suburbs,Studio,629,6,3,33,good,6,84,12164
Near Park,Apartment,996,3,4,25,average,3,28,11795
City Center,House,3781,2,2,33,poor,2,41,15177
Suburbs,Studio,989,5,1,24,average,4,51,10991
Commercial Area,Studio,772,2,3,6,excellent,8,97,11059
Commercial Area,Penthouse,4819,2,2,24,excellent,4,5,19488
City Center,Apartment,5582,6,2,1,average,6,17,20908
Suburbs,Apartment,4563,1,2,27,poor,0,16,17347
Near Park,Apartment,2303,5,2,38,good,0,93,13427
City Center,House,3785,1,3,2,poor,1,15,13018
Suburbs,Studio,819,5,2,14,average,4,74,13533
City Center,Villa,5997,5,4,19,excellent,0,74,29587
Near Park,House,1589,3,1,38,excellent,0,98,9138
Outskirts,Studio,5852,3,1,28,good,2,24,13795
Outskirts,Penthouse,3027,5,1,16,excellent,4,25,18632
Outskirts,Villa,3827,5,1,12,excellent,3,66,18756
Near Park,Penthouse,2182,3,4,24,poor,4,71,13751
Near Park,Apartment,1646,5,4,8,poor,6,95,17907
City Center,House,474,3,1,32,excellent,0,44,5356
Commercial Area,Villa,2288,4,1,24,good,1,47,13146
Near Park,Villa,2431,5,3,27,excellent,7,39,18636
Near Park,Apartment,3203,2,3,2,average,0,41,16449
Outskirts,Studio,2545,2,2,10,poor,6,67,12968
Outskirts,Villa,5989,4,1,6,average,6,49,27636
Outskirts,House,1045,6,3,30,poor,3,20,12167
Commercial Area,House,5082,4,2,8,average,6,45,23409
Outskirts,Penthouse,469,6,4,28,poor,4,34,13177
Outskirts,House,1437,6,4,13,good,1,40,17364
Commercial Area,Apartment,903,6,1,6,poor,5,86,11713
Outskirts,House,5911,1,1,1,good,7,92,13883
City Center,House,5031,3,4,21,poor,0,30,23788
City Center,Apartment,5334,1,2,13,excellent,6,11,12787
Suburbs,Studio,2701,2,3,26,poor,6,67,12404
City Center,Villa,4178,5,3,39,good,1,66,20703
Commercial Area,Apartment,4803,3,4,17,excellent,2,18,23159
Outskirts,Studio,5377,4,3,37,average,8,30,19054
Suburbs,Apartment,2412,6,2,17,poor,1,47,14671
Near Park,Apartment,3578,4,3,35,average,2,69,19816
Near Park,Penthouse,3684,5,4,11,average,3,10,20757
City Center,Villa,3867,4,1,13,average,4,98,13868
Suburbs,Villa,4814,2,4,16,excellent,3,55,15470
Near Park,Penthouse,5974,4,3,9,poor,2,85,28773
Near Park,Villa,1747,4,1,29,average,8,39,12959
Near Park,Villa,3320,4,4,23,good,0,46,20515
City Center,House,4562,2,3,14,good,3,78,19755
City Center,Apartment,1074,1,3,39,average,5,49,8174
Suburbs,Villa,3387,5,2,15,excellent,3,6,15170
City Center,Studio,1369,2,2,7,poor,8,79,9827
City Center,Penthouse,792,3,3,28,average,4,57,10048
Commercial Area,Villa,2071,6,2,8,good,6,39,16423
City Center,Studio,3294,2,2,5,average,7,75,11711
Suburbs,Apartment,1178,1,3,6,good,4,91,8624
City Center,Apartment,1272,5,1,32,excellent,2,82,12358
City Center,Apartment,3023,4,1,3,excellent,7,91,19135
Commercial Area,Villa,1274,1,3,31,poor,4,18,10071
Suburbs,House,3218,5,1,11,poor,4,86,17274
Near Park,Villa,709,1,4,34,poor,2,11,5689
Commercial Area,House,2964,6,2,12,good,0,46,16096
City Center,Penthouse,2381,1,2,27,poor,6,94,11055
Outskirts,House,2635,4,3,19,poor,4,96,15162
Commercial Area,Studio,1458,5,3,29,good,2,93,14321
Commercial Area,Apartment,5217,4,4,19,poor,3,31,22591
Suburbs,Villa,5283,1,2,11,poor,3,73,17708
Near Park,House,5001,4,4,4,excellent,1,98,18892
Near Park,Apartment,1616,2,1,15,average,2,60,9718
Near Park,Apartment,507,4,3,29,excellent,5,40,9898
Commercial Area,House,819,6,4,34,good,0,27,12720
Outskirts,Penthouse,3589,5,4,26,poor,6,52,20150
Suburbs,Apartment,2913,2,2,4,average,8,15,11068
Outskirts,Penthouse,4405,3,2,24,excellent,8,85,15693
Near Park,Penthouse,1232,5,4,4,poor,9,14,14788
Commercial Area,Villa,4023,4,3,25,excellent,6,9,14669
Near Park,House,4527,4,2,28,average,1,6,17717
Outskirts,Studio,2566,6,1,0,excellent,0,47,16816
