location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
City Center,Penthouse,excellent,991,4,2,34,6,39.9,0.71,1.41,9,25.81
Outskirts,Villa,poor,396,5,4,36,6,79.64,0.53,0.99,14,43.9
Suburbs,Studio,excellent,2979,5,1,36,6,27.13,1.12,0.59,94,39.95
Outskirts,House,excellent,4205,5,4,7,7,80.96,1.47,1.16,6,45.3
Commercial Area,Apartment,average,1751,1,1,24,2,39.28,1.0,0.99,44,34.82
Outskirts,House,excellent,4035,4,2,9,3,68.94,1.21,1.28,34,40.94
Outskirts,Studio,poor,3643,5,4,7,0,47.42,0.52,0.68,84,46.75
Outskirts,Penthouse,poor,2123,5,2,39,7,5.78,1.87,1.18,75,30.27
Suburbs,Penthouse,average,4589,4,1,38,2,6.22,1.3,1.1,12,38.38
City Center,Apartment,excellent,1446,4,3,39,4,38.36,1.69,1.25,63,50.16
City Center,Studio,excellent,5004,4,1,20,0,84.14,1.01,0.56,37,71.32
Outskirts,Apartment,poor,5749,2,2,0,1,19.81,1.03,1.16,65,28.46
Suburbs,Apartment,good,5127,2,2,7,5,21.14,0.62,1.34,36,15.94
City Center,Studio,good,2736,6,4,2,4,90.15,0.75,0.94,70,48.85
Near Park,Penthouse,average,4545,5,4,18,0,50.7,1.03,1.32,74,49.35
City Center,Penthouse,average,4247,2,2,5,1,99.32,1.21,0.95,63,68.19
City Center,Penthouse,poor,2095,5,2,20,9,43.35,1.23,0.69,49,37.5
Suburbs,Penthouse,good,1239,5,4,26,7,50.44,1.01,1.48,49,42.54
Suburbs,Penthouse,poor,3199,3,1,14,8,52.94,0.52,0.89,85,25.15
City Center,Apartment,good,4499,2,4,17,5,27.12,0.77,1.23,74,22.97
Near Park,Villa,poor,4596,4,1,31,4,11.66,1.04,1.03,74,20.29
Near Park,Studio,excellent,4287,3,1,32,8,83.34,1.34,0.56,25,66.5
Outskirts,Villa,excellent,829,6,4,20,4,76.35,1.65,1.41,38,56.76
Outskirts,Apartment,average,1246,1,4,6,7,27.85,1.42,0.79,92,30.47
City Center,Studio,poor,5574,5,3,11,1,28.34,1.52,1.26,80,46.21
City Center,Apartment,good,482,1,4,31,9,95.88,1.72,0.69,43,68.56
City Center,Studio,average,2078,5,3,20,2,50.91,0.52,0.69,9,42.5
Near Park,House,excellent,3961,6,1,30,3,62.35,0.65,0.73,25,42.91
Commercial Area,Apartment,poor,2242,6,3,10,1,35.74,1.64,1.37,84,45.95
Outskirts,Apartment,excellent,4128,3,2,20,7,25.34,1.45,0.54,37,42.24
Outskirts,House,average,4622,2,2,39,7,16.98,1.97,0.85,32,39.16
Commercial Area,Penthouse,poor,5016,6,3,1,6,13.66,0.88,1.05,70,24.19
City Center,House,poor,998,6,3,37,3,29.13,0.81,1.29,6,31.01
Outskirts,House,good,3313,2,2,15,6,60.36,1.79,1.41,83,43.39
Near Park,Villa,poor,5268,4,3,9,2,84.13,1.34,0.59,90,66.14
Commercial Area,Villa,average,2859,6,3,14,6,88.46,0.62,0.66,90,57.15
Near Park,Penthouse,poor,1386,1,1,16,8,6.28,1.11,0.78,83,20.58
City Center,Villa,excellent,1205,4,4,36,8,93.48,1.01,1.05,9,52.99
Outskirts,Penthouse,excellent,4716,3,3,26,9,21.1,0.81,1.5,86,3.02
Near Park,House,excellent,1727,3,3,6,6,50.6,0.99,0.81,10,39.23
Commercial Area,Villa,excellent,1618,6,3,6,9,93.91,1.96,0.5,43,75.7
City Center,Penthouse,poor,2010,3,1,1,1,47.79,1.57,0.96,25,58.41
Outskirts,Penthouse,excellent,3519,3,4,12,4,35.22,1.14,1.37,11,27.01
Outskirts,Villa,average,4367,6,2,29,0,75.93,1.51,0.78,51,73.24
City Center,Studio,average,2780,6,1,29,8,7.39,1.01,0.58,33,30.86
City Center,Villa,average,4939,2,3,25,9,66.62,0.74,0.5,31,34.6
City Center,Penthouse,poor,4644,6,1,1,5,92.52,0.85,1.01,78,40.66
Near Park,Studio,good,2554,6,1,29,8,73.62,1.92,1.22,61,53.06
Suburbs,Villa,excellent,1938,1,3,13,9,29.29,0.7,0.58,15,17.06
Outskirts,House,good,4124,6,4,34,7,29.7,0.87,1.12,26,28.18
Near Park,Apartment,good,3922,3,1,30,8,74.97,0.6,0.87,83,42.27
Commercial Area,Villa,good,2311,2,2,16,3,34.31,0.91,1.28,11,32.83
Outskirts,Villa,excellent,5960,4,2,34,9,91.32,0.71,0.66,92,52.35
Suburbs,Apartment,poor,3787,3,2,28,2,61.51,1.26,1.16,61,59.49
Commercial Area,Studio,average,2668,6,1,9,4,11.07,1.74,0.72,61,46.58
Outskirts,Apartment,poor,2856,5,1,12,8,84.83,1.55,1.0,34,52.67
Suburbs,Studio,average,4045,1,3,25,9,88.36,0.54,1.19,83,34.45
City Center,Penthouse,average,1748,5,1,15,8,44.21,1.76,1.45,77,38.51
Suburbs,Studio,average,3054,1,2,36,7,99.69,0.56,1.07,44,51.37
Outskirts,House,average,1554,5,2,2,8,65.7,1.49,1.04,16,46.79
Suburbs,Apartment,poor,4597,6,3,20,9,64.47,0.76,1.34,55,31.27
Outskirts,House,average,3515,2,1,11,3,81.6,1.96,1.24,18,70.62
Outskirts,House,average,615,4,1,39,3,43.77,1.97,0.71,69,68.26
Suburbs,Apartment,poor,3701,1,2,2,5,78.21,1.56,1.48,73,57.83
Suburbs,Studio,good,601,3,2,27,7,86.25,0.88,1.5,12,41.27
Commercial Area,House,average,3239,1,1,22,9,30.46,1.75,0.58,20,34.52
Commercial Area,House,excellent,1439,5,3,25,1,38.82,1.03,0.66,27,38.26
Near Park,Studio,good,2572,4,3,14,0,71.82,0.93,0.93,69,60.34
Outskirts,House,poor,4306,3,2,37,0,87.77,1.24,1.05,65,70.8
Commercial Area,Villa,good,1137,2,3,12,8,3.42,0.99,0.91,6,8.42
Near Park,Apartment,excellent,1008,5,1,23,0,38.81,1.28,1.4,73,49.26
Outskirts,Studio,average,5356,4,3,12,5,2.42,1.23,1.43,3,8.95
Near Park,Villa,good,3858,6,2,13,9,30.99,0.86,0.55,7,22.0
Commercial Area,Villa,poor,1065,5,4,5,4,82.58,1.24,1.18,37,53.97
Near Park,Studio,poor,4743,2,3,35,5,12.11,1.04,1.13,31,31.27
Suburbs,Penthouse,excellent,5480,3,3,6,1,14.79,0.85,0.9,86,29.96
Near Park,House,average,2351,6,4,38,9,6.14,0.86,1.03,65,17.32
City Center,House,poor,525,4,4,16,3,34.38,1.87,0.64,50,59.02
City Center,Penthouse,poor,1709,4,1,38,4,54.53,1.62,0.84,90,62.11
Near Park,Penthouse,average,3758,4,2,30,5,78.6,1.35,1.0,51,54.79
City Center,Penthouse,poor,3461,1,1,25,8,5.27,0.58,0.67,93,11.06
Near Park,House,poor,3315,1,1,1,5,40.09,1.84,1.45,10,41.54
Near Park,Apartment,poor,2434,3,4,5,5,12.68,0.95,1.13,20,21.52
Near Park,House,average,2659,4,2,12,8,35.14,1.55,0.97,51,42.96
City Center,Apartment,good,5502,5,4,35,9,80.25,1.05,1.28,79,41.89
Outskirts,House,poor,1043,6,2,14,5,80.4,1.85,0.77,31,71.61
Near Park,Apartment,poor,2729,3,1,31,4,37.05,1.64,1.07,42,37.96
Near Park,Apartment,good,3173,2,4,34,8,54.34,1.3,1.49,68,38.9
Suburbs,Villa,poor,4206,3,1,27,9,90.74,1.93,1.08,93,62.92
Suburbs,House,good,4998,3,2,33,3,80.05,1.85,1.39,74,66.22
Commercial Area,Apartment,average,3668,6,4,17,1,35.72,1.35,1.48,53,41.23
City Center,Villa,average,2168,4,2,36,4,92.09,0.91,1.26,66,55.97
Outskirts,House,poor,1250,3,1,19,5,41.82,1.18,0.99,78,51.45
Near Park,Apartment,poor,3923,3,3,16,6,38.61,0.57,1.08,10,22.82
Near Park,Villa,excellent,591,4,4,38,4,55.91,0.86,1.48,7,33.51
City Center,Penthouse,average,1887,3,1,34,9,81.13,1.28,0.91,95,54.97
Commercial Area,Apartment,poor,2312,1,3,12,6,54.05,1.28,0.86,16,36.99
Commercial Area,Villa,average,1828,5,1,4,9,77.17,0.74,1.36,93,29.04
Suburbs,Apartment,excellent,2211,1,1,32,0,99.68,1.97,1.45,74,86.72
City Center,House,average,2234,4,2,13,8,2.61,1.05,0.51,64,21.16
Commercial Area,Villa,poor,2301,4,4,1,4,68.33,1.87,1.36,97,63.85
Commercial Area,House,average,1237,1,1,34,9,51.27,1.61,1.3,98,44.69
Outskirts,Villa,average,5617,4,3,23,4,2.91,0.82,0.93,9,17.63
Suburbs,Apartment,poor,3520,6,2,34,8,52.77,1.49,0.97,60,56.79
Suburbs,House,excellent,716,5,3,17,7,78.34,0.63,1.01,44,31.9
Suburbs,Studio,poor,2025,1,3,36,3,99.41,1.77,1.47,18,73.02
Commercial Area,Studio,average,5842,1,3,3,6,80.08,1.3,0.68,83,59.4
Near Park,Studio,good,4021,1,3,18,8,12.47,1.4,0.83,44,34.22
Commercial Area,Studio,excellent,5335,1,1,31,5,26.81,1.55,1.2,34,32.34
Commercial Area,Villa,poor,4220,5,4,29,7,72.72,1.59,0.98,16,57.37
City Center,House,poor,1260,6,2,0,5,36.44,1.56,0.93,81,49.15
Suburbs,Villa,good,2808,3,4,1,5,43.37,0.63,0.95,31,22.69
Suburbs,House,average,5796,1,2,7,7,61.94,1.75,0.81,37,47.28
Outskirts,Studio,excellent,3705,6,2,13,4,18.89,0.91,0.92,32,23.01
Suburbs,Penthouse,good,5958,1,1,5,0,40.83,0.98,0.97,92,44.05
Commercial Area,Apartment,poor,2272,3,1,8,8,60.71,1.48,1.35,75,37.05
City Center,Studio,excellent,1786,5,1,23,3,68.45,1.01,1.45,12,45.79
Outskirts,Studio,poor,1979,1,4,9,2,0.51,0.7,1.39,59,7.87
Commercial Area,Penthouse,excellent,523,4,2,29,9,39.19,1.17,0.51,34,40.98
Commercial Area,Villa,good,4009,2,3,23,7,43.45,1.28,1.18,15,39.75
Outskirts,Villa,average,2910,1,2,10,3,47.37,0.83,0.82,72,33.75
Commercial Area,House,poor,1277,1,3,35,7,76.46,0.96,1.23,64,35.04
Commercial Area,Apartment,excellent,2581,3,3,1,4,16.5,1.67,0.94,64,41.94
City Center,House,excellent,2620,6,3,29,9,49.47,0.85,0.79,36,34.44
City Center,Studio,average,392,3,1,18,5,36.55,1.72,1.33,21,46.34
City Center,Villa,excellent,5124,2,3,7,5,95.89,1.69,0.52,73,77.19
Suburbs,Studio,excellent,3489,2,2,26,3,21.17,1.32,0.88,85,40.48
Outskirts,Studio,good,1461,4,2,19,7,44.7,1.07,1.29,62,26.88
City Center,Villa,excellent,5569,5,1,32,1,49.82,1.41,1.49,46,60.9
Commercial Area,Studio,good,4159,4,2,15,0,49.55,0.53,1.44,32,24.68
Suburbs,Studio,poor,5369,3,3,38,3,5.26,1.46,1.16,59,26.15
Outskirts,Apartment,excellent,5113,2,4,11,4,85.08,1.05,0.62,70,55.77
City Center,House,good,3788,4,3,31,8,77.12,0.87,0.81,54,42.65
City Center,Apartment,average,2468,1,4,13,2,96.17,1.46,0.59,3,76.14
Outskirts,Penthouse,average,5548,2,1,8,3,17.66,1.77,0.64,5,51.9
City Center,Apartment,average,5765,6,1,39,3,92.95,0.8,1.22,62,56.82
Outskirts,House,good,5253,1,4,27,0,1.87,0.64,0.55,74,36.39
Outskirts,Apartment,average,4112,3,3,28,8,21.26,1.13,1.49,58,16.06
Commercial Area,Penthouse,excellent,3012,2,4,35,3,68.11,0.63,0.59,21,44.22
Outskirts,Studio,good,303,1,2,23,0,68.98,1.44,0.91,38,69.94
Near Park,Studio,poor,4507,3,1,36,0,66.13,1.15,0.55,3,73.3
City Center,Apartment,poor,2929,6,3,7,8,79.74,1.0,1.45,84,34.34
Commercial Area,Penthouse,poor,4809,2,1,22,2,26.51,1.13,1.36,48,41.26
Suburbs,House,good,3749,4,4,39,7,18.22,0.8,1.2,32,13.81
Near Park,Penthouse,good,2755,4,4,11,5,70.08,1.74,0.67,48,64.09
Outskirts,Apartment,excellent,1924,3,2,27,8,31.8,1.81,1.44,35,35.89
Suburbs,Villa,poor,4638,3,1,24,5,8.09,1.19,0.97,50,25.21
Suburbs,Villa,poor,1396,6,4,5,9,64.06,0.82,1.0,13,30.19
Suburbs,Penthouse,average,5846,1,4,25,2,89.41,0.76,0.74,22,60.76
Suburbs,Apartment,excellent,5367,1,1,23,5,92.76,0.96,0.56,52,65.05
Commercial Area,Penthouse,excellent,2152,6,4,39,6,11.12,1.3,1.13,6,27.55
Commercial Area,Apartment,good,5163,3,4,32,7,3.8,1.79,1.25,81,35.31
Suburbs,House,good,4888,6,2,4,6,36.59,0.79,0.96,19,16.79
Near Park,Villa,average,2373,5,1,11,6,20.57,1.48,0.7,21,30.26
City Center,Studio,poor,5413,3,2,21,4,65.29,1.69,0.83,57,74.0
City Center,Villa,average,1382,6,4,19,8,74.95,1.65,1.33,58,50.58
Commercial Area,Studio,good,4403,6,4,25,2,49.03,0.54,0.71,24,48.34
Near Park,Apartment,poor,2494,1,4,12,1,86.58,1.37,1.13,47,52.19
Near Park,Studio,poor,3567,6,3,7,0,43.07,1.61,1.5,18,49.26
Outskirts,House,poor,4919,4,1,2,0,24.55,1.34,0.62,7,42.43
Commercial Area,Apartment,average,1011,3,1,35,5,12.04,1.25,0.96,6,41.06
Near Park,Villa,average,3684,2,4,10,3,75.7,1.11,0.72,21,59.02
Near Park,Villa,good,4569,4,4,31,5,97.37,0.82,1.38,65,51.71
City Center,Penthouse,average,4171,3,3,29,8,9.55,0.65,1.21,84,6.39
Near Park,Studio,good,676,3,1,10,2,64.36,1.05,1.13,8,52.64
Near Park,Apartment,good,4072,2,3,9,2,45.38,1.05,0.55,89,41.88
Suburbs,Studio,excellent,496,2,2,19,9,14.59,0.83,0.9,25,18.37
City Center,House,excellent,4525,4,2,2,7,80.99,0.81,0.97,8,28.72
City Center,House,poor,2736,3,2,14,1,96.92,1.89,0.52,24,85.17
Suburbs,Penthouse,poor,481,3,3,32,7,37.45,0.7,1.42,59,25.77
City Center,Apartment,poor,5104,1,4,26,4,32.76,1.31,1.42,98,44.96
Outskirts,Apartment,excellent,4199,1,2,2,9,12.6,0.69,0.8,56,13.29
Outskirts,Studio,average,1212,3,4,26,1,98.84,1.73,0.68,91,82.11
Commercial Area,Penthouse,good,3089,4,2,26,1,28.65,0.91,1.16,6,33.46
City Center,Villa,poor,668,5,4,29,5,80.55,1.55,0.79,39,64.68
City Center,Apartment,poor,5685,4,4,13,5,98.81,1.44,1.29,29,62.68
Outskirts,Apartment,poor,305,4,3,10,2,23.22,1.91,0.63,41,65.33
Commercial Area,Apartment,good,1211,3,2,39,3,98.21,0.59,1.33,42,49.78
Commercial Area,Penthouse,good,5130,2,3,23,9,9.55,1.64,1.11,56,34.86
Outskirts,House,average,3924,3,4,25,0,43.43,1.9,1.01,10,58.91
Outskirts,Villa,average,2063,3,3,31,3,97.15,1.52,0.64,6,81.39
Suburbs,House,poor,5886,1,1,25,0,17.39,1.96,0.99,92,50.69
Commercial Area,Studio,good,2093,4,2,5,0,83.32,1.4,0.52,97,80.45
Commercial Area,Apartment,poor,709,2,4,33,6,0.63,1.2,1.09,22,19.79
Suburbs,Studio,poor,2225,4,4,18,9,31.67,1.42,0.93,16,33.07
Outskirts,Studio,good,1214,5,2,35,6,4.46,1.88,1.17,1,36.89
Suburbs,Apartment,excellent,5505,5,1,25,2,78.94,1.49,1.21,94,62.93
Suburbs,Penthouse,excellent,3362,5,4,13,0,35.46,1.24,0.56,27,54.51
Near Park,Studio,average,910,2,1,31,6,11.6,1.54,1.42,3,26.65
Commercial Area,Penthouse,poor,2831,2,1,27,2,9.07,1.8,0.77,64,42.98
Outskirts,House,good,466,5,2,24,6,41.26,1.59,1.06,29,46.28
Near Park,Villa,average,435,1,3,18,5,9.59,1.84,0.78,27,35.67
Near Park,Villa,poor,4396,1,2,28,1,37.44,0.84,0.61,92,50.62
Near Park,Villa,good,5126,6,1,29,5,26.06,1.8,0.94,10,48.4
Outskirts,Villa,poor,3423,6,2,35,4,38.67,0.53,1.12,89,24.75
Suburbs,Penthouse,poor,4624,6,2,2,4,52.45,1.68,1.28,19,53.29
Outskirts,House,average,5447,3,2,9,5,25.51,1.06,1.4,6,30.36
Commercial Area,Penthouse,poor,3299,2,1,27,8,50.01,1.69,1.02,65,52.04
Commercial Area,Studio,poor,3172,1,3,19,1,73.07,1.34,1.2,71,67.83
Suburbs,Apartment,excellent,574,3,4,10,7,92.34,1.59,0.68,50,62.14
Outskirts,Studio,excellent,2239,3,3,3,6,0.95,0.78,1.03,20,5.58
Suburbs,Penthouse,excellent,3600,4,4,3,5,86.98,0.66,1.26,70,42.21
Suburbs,Studio,poor,3811,4,3,5,1,54.4,0.89,0.85,68,43.55
Outskirts,Studio,good,2381,4,1,1,2,74.34,1.02,0.84,3,58.12
Commercial Area,Studio,good,5274,1,1,27,5,63.47,0.87,0.64,44,40.77
Outskirts,House,excellent,3063,4,4,3,2,47.38,1.42,0.56,39,51.77
Commercial Area,House,average,1270,5,3,1,1,21.07,1.88,1.08,64,46.97
City Center,Apartment,poor,3528,3,3,20,2,52.71,1.24,0.85,49,55.8
City Center,Villa,poor,1626,5,1,9,4,37.63,1.73,0.75,17,45.04
City Center,Penthouse,average,2993,6,2,5,0,19.9,0.51,0.94,5,26.09
Near Park,Penthouse,good,4792,5,1,39,4,74.01,0.63,1.24,6,37.56
Commercial Area,House,excellent,1422,4,3,31,0,90.87,0.95,1.08,53,65.94
Commercial Area,House,good,3808,2,3,25,9,26.68,1.54,1.37,99,26.32
Outskirts,Apartment,excellent,631,1,3,18,3,84.34,1.95,0.66,54,81.29
Commercial Area,Penthouse,average,674,4,3,21,7,32.74,0.99,1.42,33,20.38
Outskirts,Penthouse,good,3296,4,3,4,1,71.91,1.94,1.14,88,67.45
Near Park,Apartment,poor,3905,6,4,6,3,68.46,1.56,0.61,86,69.69
Outskirts,Apartment,average,1822,4,4,24,3,39.47,1.97,1.26,27,51.71
City Center,Studio,excellent,5632,1,2,0,5,32.44,0.94,0.67,32,30.73
Outskirts,Apartment,poor,2935,1,3,38,5,79.87,0.69,0.99,77,49.24
Outskirts,Studio,excellent,3498,1,4,0,1,55.65,1.46,1.33,35,53.63
Outskirts,Penthouse,excellent,4677,6,2,4,9,84.89,1.71,1.03,43,61.78
Commercial Area,Studio,poor,1347,1,4,16,9,80.66,0.86,1.4,90,34.57
Suburbs,Villa,good,4877,1,3,10,2,5.57,1.5,0.9,88,27.79
Suburbs,House,excellent,5814,5,4,34,2,97.4,1.32,1.05,37,72.22
Suburbs,Studio,poor,5794,2,4,20,9,97.4,0.77,1.08,8,46.79
Commercial Area,Villa,excellent,5173,2,1,1,5,87.7,1.53,1.21,37,56.42
City Center,Apartment,excellent,2192,2,2,38,8,96.8,1.4,1.35,7,48.21
Suburbs,Apartment,poor,810,5,2,28,3,11.88,1.78,1.49,12,39.54
Suburbs,Apartment,good,3427,1,3,15,4,9.56,1.65,1.25,17,36.39
Near Park,Apartment,excellent,5557,4,1,28,6,54.79,1.38,0.6,52,57.14
Near Park,Villa,excellent,373,1,2,10,0,90.47,1.44,0.77,1,70.97
City Center,House,average,4198,2,3,37,6,25.45,1.62,1.11,91,41.81
Outskirts,Studio,average,2665,4,3,31,0,35.29,0.83,1.07,53,47.67
Outskirts,House,good,848,1,4,39,1,0.88,1.09,1.33,2,28.86
Near Park,Studio,average,3582,3,4,19,3,76.47,1.0,1.02,62,52.62
Near Park,House,good,565,4,4,2,7,16.78,0.7,0.6,90,13.17
City Center,Villa,excellent,3708,5,4,26,3,82.99,0.94,1.38,61,46.11
City Center,Villa,excellent,2156,1,1,32,4,1.86,0.77,1.48,57,6.4
Commercial Area,Apartment,poor,5256,3,1,12,9,52.78,0.94,0.76,35,23.73
Outskirts,Penthouse,good,3725,3,1,31,8,43.19,1.5,1.25,13,35.65
Commercial Area,Villa,average,4412,5,2,22,5,41.4,0.64,1.15,27,24.69
Suburbs,Villa,poor,901,3,1,35,4,46.18,1.81,0.51,83,73.3
City Center,Apartment,good,1659,2,3,24,7,64.79,1.98,1.26,82,59.6
Outskirts,Penthouse,good,4603,3,4,31,6,55.62,1.58,0.85,33,47.41
Outskirts,Villa,average,1434,5,2,24,3,5.66,1.98,1.3,73,41.07
Commercial Area,Villa,average,3063,4,1,2,8,82.48,0.53,0.61,20,34.88
Near Park,House,good,4326,2,1,21,4,93.26,1.93,1.37,29,69.54
Near Park,Studio,good,2931,3,2,35,4,32.91,0.83,0.87,63,38.73
City Center,Studio,poor,3172,6,2,13,0,69.96,0.67,1.06,75,54.06
Near Park,House,excellent,5351,1,1,25,0,84.75,0.61,0.85,89,51.49
Suburbs,Studio,good,806,5,3,27,5,1.23,0.59,0.74,63,12.67
Outskirts,Apartment,good,2393,1,2,12,4,7.49,1.02,1.05,68,21.87
Near Park,Penthouse,average,3074,1,2,8,4,5.27,0.86,1.47,19,14.02
City Center,Villa,good,2103,1,3,36,6,87.05,1.33,0.71,15,64.41
Suburbs,Studio,excellent,3733,6,4,39,1,4.22,1.31,1.07,7,40.83
Commercial Area,Villa,good,2590,2,4,37,0,42.15,1.65,0.82,36,66.5
Commercial Area,House,average,1479,4,1,16,8,89.16,1.82,1.36,85,59.47
Suburbs,House,excellent,3509,4,2,5,8,6.24,1.2,1.08,78,15.21
City Center,Studio,good,4473,3,3,19,0,83.74,0.63,1.07,9,55.3
Commercial Area,House,poor,5093,1,4,31,5,53.21,0.63,0.58,83,37.95
Outskirts,Studio,poor,4537,4,4,16,0,83.54,0.59,1.23,32,60.06
Outskirts,Apartment,excellent,3656,4,4,5,2,19.42,1.99,0.68,57,53.18
City Center,Studio,average,2865,1,1,5,3,75.84,1.59,0.86,65,67.42
City Center,House,excellent,574,6,1,28,1,80.29,0.88,0.74,67,64.76
Outskirts,Apartment,poor,4821,6,2,6,5,1.85,1.01,1.27,69,15.24
City Center,Apartment,good,2803,2,4,25,6,31.87,0.81,1.39,43,16.11
Suburbs,Studio,excellent,3500,2,3,17,3,55.28,1.68,0.56,50,64.67
City Center,Villa,excellent,5733,3,3,12,0,89.86,0.63,1.23,40,48.42
Outskirts,Villa,poor,4888,1,1,36,0,29.42,1.74,1.35,54,47.01
Near Park,House,excellent,3949,5,3,4,6,82.37,1.18,1.0,12,48.43
City Center,Studio,excellent,3177,6,2,16,1,64.13,1.84,0.91,38,64.1
Commercial Area,Villa,average,1372,6,3,26,2,22.72,0.77,1.25,16,23.39
Suburbs,Studio,excellent,5682,3,3,6,6,48.03,1.85,1.12,87,56.31
Suburbs,Villa,average,370,4,3,15,0,2.58,1.08,1.11,10,35.78
Suburbs,Apartment,poor,531,2,4,13,9,39.91,1.54,0.82,26,42.95
Commercial Area,Studio,average,2857,5,2,20,0,88.0,0.54,1.17,12,50.25
Commercial Area,Villa,good,1275,3,3,36,1,29.74,0.89,1.3,89,37.16
Suburbs,Penthouse,good,1223,3,4,29,4,46.49,1.94,0.75,84,63.91
Suburbs,House,excellent,4369,6,4,31,9,72.8,1.82,0.52,93,64.89
Suburbs,House,excellent,5039,1,1,9,8,14.49,1.69,1.31,78,22.23
City Center,Studio,good,5348,4,3,30,5,69.24,1.53,1.03,24,60.12
Commercial Area,Penthouse,good,5324,3,4,15,4,49.71,0.83,0.84,73,40.4
Outskirts,Apartment,poor,3756,3,3,26,6,54.57,1.26,1.22,54,45.73
City Center,House,average,1679,4,4,36,7,13.09,1.67,0.68,1,38.63
Outskirts,Studio,good,5693,1,1,8,7,71.43,0.79,0.83,33,43.13
City Center,House,excellent,2002,2,4,35,8,5.46,1.78,1.32,21,23.61
City Center,Studio,average,1606,6,3,36,1,46.81,1.33,0.9,3,55.25
Outskirts,Penthouse,poor,5611,6,2,23,2,33.11,1.56,0.81,73,52.39
Suburbs,Villa,good,5769,5,4,39,5,68.76,1.73,0.86,5,69.97
Outskirts,Villa,excellent,3382,3,2,34,1,26.81,1.25,0.56,20,49.1
Near Park,Villa,excellent,3011,2,1,19,9,14.27,0.87,1.47,95,7.14
Commercial Area,Villa,excellent,830,6,2,27,1,68.88,1.95,1.3,48,68.7
Near Park,Apartment,good,4076,1,3,20,0,12.24,0.94,0.89,75,30.53
City Center,Studio,poor,2024,2,2,23,4,90.57,0.6,1.35,19,50.27
Outskirts,Apartment,poor,1987,3,3,28,5,75.21,1.2,1.14,72,61.99
Suburbs,Villa,excellent,4705,1,3,14,7,43.78,0.87,1.04,22,23.4
Suburbs,Villa,poor,447,5,2,4,6,29.64,1.66,1.22,9,29.85
Near Park,Penthouse,good,5735,1,1,8,4,67.53,0.94,0.61,79,54.94
Near Park,House,average,3920,3,2,25,4,65.77,1.63,0.88,69,65.9
City Center,Villa,good,3206,3,4,36,3,53.31,1.82,0.57,3,69.4
Commercial Area,Apartment,excellent,394,4,2,3,2,32.45,0.77,0.57,95,32.45
City Center,Apartment,poor,4901,1,4,3,6,56.03,1.43,0.51,54,43.2
Suburbs,Apartment,good,4843,3,3,39,6,80.09,1.49,1.33,89,56.64
Outskirts,Penthouse,poor,1776,5,1,25,9,35.19,0.51,1.42,32,9.6
Near Park,Apartment,average,2593,4,4,14,1,10.12,1.43,0.92,93,35.07
Suburbs,Studio,excellent,4035,1,1,20,9,82.62,0.83,0.61,34,54.42
City Center,Studio,poor,4113,3,4,35,4,41.76,1.5,0.64,78,61.92
Commercial Area,Penthouse,excellent,1025,6,1,13,5,98.12,1.67,1.39,71,63.26
Outskirts,Studio,good,3250,1,2,27,5,16.57,1.22,1.28,22,26.07
Commercial Area,Penthouse,poor,5484,4,3,25,8,12.14,0.79,1.15,80,12.49
City Center,Penthouse,good,3921,2,1,24,6,45.6,1.75,1.12,81,48.1
City Center,Penthouse,poor,3662,3,3,26,8,86.02,1.37,1.21,1,47.22
Suburbs,Studio,poor,2788,1,3,3,7,87.34,0.6,1.16,81,49.77
Outskirts,Villa,average,2340,3,2,37,4,85.36,1.41,0.58,70,71.0
City Center,Studio,average,4848,5,3,30,4,75.84,1.17,1.44,51,53.03
Suburbs,Penthouse,excellent,5958,1,4,38,8,17.25,0.65,1.17,6,14.55
City Center,House,good,2848,4,2,13,5,94.32,1.19,0.87,48,60.94
Suburbs,Studio,excellent,1929,1,3,9,1,89.74,0.75,0.54,81,64.43
Commercial Area,House,average,5298,2,3,15,8,48.78,1.63,0.98,57,44.8
Suburbs,Studio,poor,4007,6,4,32,0,9.71,1.43,1.33,79,47.95
Commercial Area,Penthouse,excellent,2351,3,4,33,0,13.73,0.85,0.65,28,50.6
Near Park,Studio,poor,2470,3,3,21,7,40.65,0.92,0.96,19,33.68
City Center,Apartment,excellent,2211,1,3,27,4,47.34,1.04,1.46,86,36.53
Near Park,Apartment,good,3942,5,4,24,3,3.77,0.95,1.03,83,21.41
Outskirts,Penthouse,poor,5367,5,3,0,7,0.7,0.98,0.79,87,21.89
Near Park,Villa,excellent,1710,6,1,5,9,38.84,0.67,0.53,72,19.55
Suburbs,House,good,2809,2,2,36,6,91.22,1.98,0.65,70,84.97
Suburbs,Studio,excellent,5437,1,4,33,4,60.39,0.76,0.85,74,45.1
Outskirts,Penthouse,average,584,6,4,38,0,76.54,1.02,0.97,96,60.54
Outskirts,House,good,364,6,3,30,6,73.43,0.6,0.94,66,42.31
City Center,Studio,average,352,2,3,17,7,39.91,1.81,0.69,18,60.54
Suburbs,Studio,excellent,1368,5,4,19,7,88.3,1.85,0.66,94,71.29
Outskirts,Villa,good,1376,1,3,20,8,42.74,1.68,1.31,14,28.93
Near Park,House,poor,4434,5,2,38,2,9.83,0.57,0.65,45,34.29
Suburbs,Studio,excellent,3438,5,4,21,9,5.57,1.27,1.44,85,19.62
