location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
university road,house,used,1150,4,4,11,1.79,0.98,26861613
university road,flat,used,3689,5,4,13,4.93,0.67,66466454
aziz bhatti town,plot,old,4970,3,4,16,1.95,0.83,96369131
satellite town,house,new,2555,6,4,31,4.32,0.4,21548676
wapda town,house,old,603,1,1,15,4.57,1.11,9186253
model town,plot,used,3454,3,1,21,2.92,1.01,50452660
wapda town,plot,new,4023,3,1,6,4.94,1.08,74837609
satellite town,flat,used,3592,5,5,24,2.19,0.45,28458981
university road,house,new,2004,4,3,7,4.61,0.64,35568670
university road,plot,used,2373,1,1,26,1.48,1.19,55211854
model town,flat,used,4681,2,4,31,2.93,0.72,51679816
wapda town,flat,old,5800,5,5,26,2.85,1.1,92775585
wapda town,plot,old,3537,5,5,5,3.74,0.67,39783909
model town,house,used,5424,3,1,9,2.68,0.41,34758619
wapda town,plot,old,3189,4,2,13,3.6,1.05,47179493
wapda town,flat,new,3660,1,5,34,3.03,0.96,58051320
wapda town,plot,new,2008,2,4,30,1.05,0.56,17216069
model town,flat,old,2841,5,4,26,2.48,0.63,26878850
model town,plot,used,5299,1,5,9,2.78,0.58,52486560
satellite town,plot,used,3812,4,1,22,1.01,0.54,30829326
wapda town,house,used,4523,3,2,31,2.14,0.47,28160775
satellite town,house,new,4534,2,1,27,1.89,1.08,79946588
aziz bhatti town,flat,used,3810,1,3,33,4.58,0.74,75680210
aziz bhatti town,house,used,3841,1,3,3,2.38,0.62,68613631
wapda town,plot,used,2094,4,2,8,3.57,0.78,25552433
university road,house,used,3388,5,4,7,1.47,0.57,47841998
aziz bhatti town,plot,old,4353,4,2,28,1.37,1.19,118175478
university road,plot,old,5541,5,2,19,2.82,1.05,116343949
satellite town,flat,new,3333,1,2,6,3.49,1.11,68223618
wapda town,house,new,4609,4,3,4,2.26,0.58,48630625
satellite town,flat,new,1549,6,2,21,3.08,1.04,31126901
satellite town,plot,new,3502,3,3,7,2.07,0.74,47577270
model town,plot,new,4434,6,3,24,3.58,0.69,59624207
wapda town,flat,new,4526,3,1,28,2.21,0.53,35650606
model town,flat,used,3381,1,4,0,3.38,1.03,61011797
satellite town,flat,old,604,1,2,11,2.25,0.44,3823206
university road,plot,used,5086,2,4,33,1.8,0.69,73305845
wapda town,house,new,4644,3,4,0,1.16,0.56,45133520
wapda town,plot,new,3890,1,4,32,1.79,0.6,36394379
aziz bhatti town,plot,new,4769,1,4,3,1.76,0.99,154442661
university road,plot,old,5493,2,4,19,3.89,0.6,65134697
university road,plot,used,3029,1,3,12,2.81,0.74,50676625
satellite town,house,old,3118,5,3,16,4.82,0.64,31787795
satellite town,plot,old,1336,3,3,10,3.32,0.58,11779627
satellite town,flat,new,5260,3,4,29,2.09,0.68,62203413
aziz bhatti town,house,new,5927,3,2,2,4.07,1.09,210669185
university road,flat,new,5149,1,4,4,3.51,0.58,82292171
model town,flat,old,3242,2,2,8,4.38,0.88,41769474
university road,plot,used,1993,3,1,29,2.03,0.78,30807080
model town,house,new,2707,3,4,3,3.34,1.08,57312764
wapda town,plot,old,1455,2,2,8,1.47,0.85,15766150
model town,house,new,1383,3,4,9,2.05,0.48,12131981
wapda town,house,used,2267,6,2,31,2.61,0.89,31088012
satellite town,flat,used,3522,2,1,6,3.77,0.87,50783141
university road,house,used,4578,3,2,2,2.17,0.86,88500912
satellite town,flat,old,1951,2,3,16,4.2,0.8,22282826
university road,plot,used,5664,4,3,6,4.76,0.86,121027715
model town,flat,new,1113,5,3,30,4.8,1.04,22195740
university road,flat,new,3648,5,5,23,4.74,0.57,58991956
model town,house,old,2784,2,4,21,2.29,1.18,44644050
university road,house,used,796,1,4,2,1.45,0.53,9876566
wapda town,flat,used,3047,5,3,24,3.37,0.92,43331580
model town,plot,new,1842,3,2,21,3.83,0.41,12498522
satellite town,flat,new,3788,6,1,33,1.33,1.12,78565451
satellite town,plot,used,823,1,4,3,2.02,1.19,17161425
satellite town,plot,old,5496,6,4,18,3.8,0.43,39560766
satellite town,house,old,3761,5,2,27,1.92,0.78,42367056
wapda town,plot,old,2055,6,4,9,1.8,0.5,16097419
wapda town,flat,used,5488,4,5,25,1.02,0.82,66370747
aziz bhatti town,house,used,5366,1,5,14,4.1,1.02,167135215
aziz bhatti town,house,used,2463,5,3,12,3.77,0.41,31807591
aziz bhatti town,house,old,1741,1,4,1,1.63,0.8,36494771
aziz bhatti town,plot,used,2168,1,1,9,4.96,1.1,68143275
university road,flat,used,1197,3,1,23,3.63,0.79,19470795
model town,flat,used,4580,5,3,4,2.27,0.95,79344726
satellite town,house,used,5369,6,3,32,4.95,0.92,91671578
university road,plot,new,3349,6,4,10,1.93,1.08,106111310
wapda town,flat,old,5152,6,4,30,1.1,0.74,54007494
satellite town,plot,new,5101,6,5,17,2.89,0.78,83418462
model town,house,old,2778,3,4,12,3.95,0.81,34574831
model town,flat,old,3028,1,2,16,4.29,0.86,35002858
wapda town,flat,used,4888,5,4,21,4.58,0.41,32791154
satellite town,plot,new,2476,2,3,20,1.78,0.58,24084666
aziz bhatti town,plot,used,1299,5,3,16,3.71,0.73,27440541
satellite town,house,new,803,6,5,22,1.4,0.82,13314125
satellite town,house,old,926,3,3,14,3.46,1.01,14264737
model town,flat,old,5017,3,5,23,1.81,0.96,66522725
wapda town,flat,new,1486,6,5,24,4.14,0.79,22894136
satellite town,house,old,4626,4,3,12,3.39,0.97,71743328
university road,flat,new,1154,5,1,14,3.61,0.83,26397660
university road,flat,old,3242,1,1,15,4.49,0.43,28646573
wapda town,plot,old,3380,6,1,33,1.78,1.05,48233573
aziz bhatti town,flat,used,1321,6,2,13,1.9,1.15,46444593
satellite town,plot,new,1405,2,1,12,1.27,0.71,17434360
satellite town,house,new,5284,3,2,24,4.01,0.81,73501267
model town,house,new,5006,6,1,30,2.48,1.18,108879610
satellite town,house,old,4888,2,4,26,2.43,0.74,50966611
aziz bhatti town,plot,old,3870,4,4,19,1.52,0.95,89236569
satellite town,house,used,4607,4,5,20,4.12,0.99,80243061
satellite town,plot,old,3376,5,1,28,3.05,0.51,25552496
model town,flat,used,1582,4,2,29,2.74,1.06,25355558
university road,plot,old,5667,3,3,4,4.97,0.81,102156751
university road,flat,old,4521,1,4,15,4.33,0.5,49056987
aziz bhatti town,house,old,1813,1,2,20,3.82,0.83,34678975
wapda town,flat,used,646,1,1,26,3.91,1.0,8925794
wapda town,flat,old,5611,1,5,18,4.01,0.88,67083739
model town,house,used,1992,2,3,8,4.57,0.64,21454843
satellite town,flat,new,1629,1,5,1,1.97,1.13,37103515
model town,flat,used,999,4,1,31,3.09,0.75,11423891
university road,plot,new,4258,5,2,15,3.42,1.08,126174062
aziz bhatti town,flat,old,2109,1,3,2,3.0,0.62,34414700
wapda town,house,new,1592,6,5,7,4.27,0.7,23694001
satellite town,plot,used,1732,3,4,22,3.12,0.47,12956852
wapda town,flat,new,5953,1,2,17,3.99,0.61,56299826
university road,house,old,3194,6,5,30,4.73,0.53,40337059
satellite town,plot,new,5765,4,1,28,4.58,0.46,48451946
university road,plot,used,2675,2,2,4,1.9,0.98,58541765
wapda town,flat,new,5844,2,5,15,2.04,0.49,50214160
wapda town,plot,old,3999,4,3,13,3.67,0.42,24415207
university road,plot,used,3123,6,5,6,3.12,0.61,52804851
satellite town,house,used,3769,1,2,2,4.81,0.8,53234652
university road,house,used,4976,4,1,15,3.17,0.76,87911596
satellite town,plot,old,2394,4,5,1,3.08,0.85,35545297
model town,plot,old,3656,4,1,12,2.08,1.04,55351964
model town,plot,new,5898,3,5,4,1.44,0.8,90847928
satellite town,plot,used,3542,4,4,9,1.97,0.78,48817551
university road,plot,used,4042,1,1,10,1.18,0.48,40926705
satellite town,house,used,5152,2,1,15,4.63,0.75,65327199
wapda town,house,old,2019,2,3,4,1.99,0.56,15638078
university road,plot,used,3969,3,5,4,2.19,0.4,38918135
satellite town,flat,new,2002,2,1,20,2.75,0.89,29702165
wapda town,flat,old,2828,2,2,8,3.87,1.06,40480820
aziz bhatti town,flat,used,5032,4,2,27,4.5,0.62,85214217
wapda town,house,new,5348,6,1,27,2.0,1.02,92757099
satellite town,plot,new,780,2,1,20,1.77,0.65,8253273
university road,flat,used,5261,4,1,28,1.62,1.09,118132977
university road,flat,old,928,2,5,12,3.97,1.01,20742591
model town,flat,old,3194,3,4,9,4.45,0.61,30285459
satellite town,plot,old,3563,4,3,3,2.72,0.75,43731609
wapda town,plot,old,3058,4,1,0,1.9,0.67,28824964
wapda town,house,used,4111,6,5,17,2.71,0.75,51907383
satellite town,plot,old,3610,6,2,5,4.28,0.58,37797914
wapda town,house,used,5962,5,4,33,4.42,0.65,63175628
aziz bhatti town,flat,old,3405,1,5,10,4.55,1.08,102120138
model town,house,old,3628,4,5,16,3.28,0.48,26165009
university road,house,old,3551,3,3,16,2.42,0.45,29634673
wapda town,plot,old,1249,5,2,11,2.65,1.15,20729008
aziz bhatti town,flat,old,1779,5,3,9,4.35,0.86,43959149
satellite town,house,used,2242,5,3,0,4.84,0.54,24234544
wapda town,flat,old,2098,6,5,20,2.22,0.82,25760248
satellite town,flat,new,2791,5,1,29,2.28,1.01,51108265
aziz bhatti town,plot,old,744,2,4,23,2.92,0.45,8006750
aziz bhatti town,flat,new,4132,4,4,16,3.67,0.87,114344842
university road,house,new,5142,4,5,28,4.94,1.07,149677614
satellite town,flat,new,3476,2,5,0,2.98,0.98,70355466
model town,flat,new,4398,3,1,17,2.84,0.65,46216534
university road,flat,used,4824,6,1,20,1.55,0.59,64105477
satellite town,plot,new,1156,6,5,27,3.04,0.76,18485705
satellite town,plot,used,2642,5,2,29,3.51,0.47,20700173
aziz bhatti town,flat,new,1869,5,5,9,3.31,0.48,33131730
aziz bhatti town,flat,new,4182,2,3,8,2.5,0.6,78082188
satellite town,flat,used,2749,1,3,13,4.54,0.85,40606075
aziz bhatti town,flat,new,1539,3,5,1,3.2,0.46,24654722
satellite town,house,old,2932,3,1,29,3.66,0.78,31302675
satellite town,flat,used,1625,3,2,26,3.22,1.19,29105702
university road,flat,old,2705,4,3,33,3.95,1.07,58442714
university road,house,new,3026,3,1,0,4.86,0.55,44638635
model town,flat,old,2964,3,5,0,2.12,0.94,43832149
university road,plot,old,3190,2,1,34,1.44,0.72,40376062
wapda town,house,old,2946,5,5,18,3.46,1.07,46506544
wapda town,plot,old,3617,4,3,34,3.57,0.44,21233898
aziz bhatti town,plot,old,2641,5,4,26,1.66,1.12,75473769
wapda town,flat,used,3194,6,2,17,1.71,0.95,45741808
university road,plot,used,5303,3,5,31,3.21,1.0,117844850
model town,house,old,4374,2,5,31,2.38,0.4,24502892
satellite town,plot,old,4930,3,4,28,3.65,0.73,52203151
model town,house,old,2214,3,5,6,4.41,0.54,19092440
university road,plot,used,2773,2,3,8,3.84,0.92,59099483
university road,house,old,1124,3,1,33,3.16,0.69,14213650
university road,flat,old,2157,1,2,15,2.49,0.84,35520140
aziz bhatti town,flat,used,1121,4,2,0,3.03,0.54,18059044
wapda town,plot,old,5569,5,1,30,2.17,0.53,38736914
university road,plot,new,3406,1,3,6,1.51,0.81,67687185
satellite town,flat,old,2123,3,3,31,1.38,0.74,20964634
wapda town,flat,old,4354,2,3,8,1.38,0.75,42782265
wapda town,house,old,830,2,5,5,1.58,0.41,4931106
aziz bhatti town,flat,used,4811,1,2,18,1.5,0.41,47772219
model town,flat,old,2090,6,2,8,2.76,0.74,25067447
wapda town,house,old,3169,6,5,27,1.58,1.06,49517973
wapda town,flat,old,4127,3,2,8,3.56,1.09,60307751
university road,house,new,3216,2,4,19,2.79,0.56,43156623
satellite town,flat,used,3280,5,3,18,1.41,0.75,40152574
university road,house,old,2300,4,5,0,1.84,1.03,54412883
satellite town,flat,new,3574,1,5,26,4.41,0.83,56043658
wapda town,flat,used,1746,2,2,22,2.92,0.84,19797058
satellite town,plot,used,4527,1,4,1,2.46,1.16,93005513
university road,house,used,5148,4,1,23,1.39,0.81,85414939
university road,flat,used,1647,1,5,6,3.97,1.17,47383879
model town,plot,new,4989,6,2,19,2.21,0.49,44765883
aziz bhatti town,plot,used,2977,2,1,10,3.21,0.54,44106368
model town,house,new,3937,6,4,20,4.15,0.7,56012515
wapda town,plot,used,5198,3,4,34,1.86,0.66,47845413
satellite town,flat,old,1794,1,4,4,2.44,0.81,23151579
university road,plot,old,1004,1,5,27,4.61,0.52,10787958
university road,house,new,3844,2,3,12,2.49,1.17,113012693
university road,house,new,1884,2,5,3,4.44,0.77,42004769
university road,flat,old,5692,3,3,19,1.71,0.83,86113442
wapda town,flat,old,1562,2,4,7,3.64,0.64,14232940
aziz bhatti town,flat,used,2106,1,5,32,3.13,0.72,41639931
model town,plot,new,1901,4,5,30,2.47,1.19,41487381
model town,flat,new,3434,5,4,3,3.85,1.16,86934124
university road,flat,old,4805,5,2,15,4.33,0.55,59516758
university road,flat,new,1554,2,3,9,4.57,0.74,30344839
satellite town,house,old,1087,6,1,31,3.63,0.47,8036049
university road,flat,old,2554,1,1,16,2.95,1.06,49368321
model town,plot,old,3871,5,4,16,1.61,1.07,60897588
satellite town,house,used,4996,5,2,10,2.78,0.43,38258127
satellite town,flat,old,5384,5,5,26,3.21,0.78,68192440
university road,flat,new,849,4,5,20,4.86,0.66,15216024
satellite town,house,old,3515,4,3,31,4.43,1.0,52971677
aziz bhatti town,house,used,5641,1,1,3,2.58,1.02,161728832
university road,house,used,5754,3,3,26,1.14,0.63,72388925
aziz bhatti town,plot,new,966,1,3,10,2.62,0.47,14169210
university road,flat,used,5158,3,4,15,3.39,0.59,71789666
aziz bhatti town,flat,used,4984,5,1,7,3.23,0.51,76749460
university road,flat,used,3849,5,1,28,1.18,0.51,41905192
model town,house,new,5181,5,3,28,3.65,1.19,115118896
university road,flat,new,5068,4,5,9,1.42,1.04,143370360
model town,flat,new,3627,3,5,10,1.55,1.06,71370718
wapda town,house,used,4756,3,5,14,1.36,1.01,73962046
wapda town,flat,old,1250,4,2,31,1.8,1.14,17691420
university road,plot,new,3139,2,3,15,2.78,1.12,88959498
model town,flat,used,5818,4,5,12,4.39,1.07,115929565
model town,plot,old,1411,6,5,22,4.82,0.96,23102371
satellite town,house,old,610,4,4,16,2.77,1.18,10736766
satellite town,flat,new,894,2,1,22,4.73,1.03,16077990
aziz bhatti town,plot,old,3825,2,2,27,1.99,1.15,97040023
satellite town,flat,old,1088,2,2,5,3.74,0.48,8095658
university road,house,used,3323,6,1,15,4.2,1.11,96204239
satellite town,house,used,2134,4,1,24,4.18,0.84,28973780
satellite town,flat,used,3308,3,1,0,3.05,0.96,53815549
university road,house,used,3551,3,4,0,1.05,0.97,79840534
university road,plot,old,1622,1,4,5,1.9,1.04,35937553
aziz bhatti town,house,old,4510,5,5,17,1.39,0.56,65826580
model town,house,old,3554,4,4,25,3.42,0.51,26571436
satellite town,plot,old,3317,6,5,5,3.57,1.06,68049804
wapda town,flat,old,2413,5,5,17,1.95,0.41,14077082
model town,house,new,3042,3,4,14,3.27,0.41,23470939
university road,flat,old,5055,5,3,0,4.98,0.69,85406423
satellite town,plot,old,3038,5,1,9,3.06,1.06,51960079
aziz bhatti town,flat,old,5948,2,5,6,4.09,1.05,171600724
wapda town,house,used,805,6,3,22,3.65,0.84,10999808
model town,house,new,4633,2,3,27,1.4,1.02,75983304
satellite town,house,old,3988,3,2,7,3.08,0.42,24580707
university road,plot,used,3259,5,4,17,2.7,1.0,76536059
model town,house,old,4565,1,1,12,3.88,1.04,68707267
wapda town,flat,old,4189,1,3,4,1.14,1.09,61843682
university road,house,old,2365,3,3,14,4.78,0.67,33761422
wapda town,plot,new,664,2,1,18,2.96,0.98,9846990
satellite town,flat,new,3258,2,5,22,3.87,0.71,43158562
model town,flat,used,764,6,1,8,3.45,0.75,10489660
aziz bhatti town,plot,used,729,2,4,21,4.12,0.94,18730146
satellite town,flat,old,1986,5,1,32,4.8,0.46,14122315
satellite town,house,used,1196,6,1,21,1.41,0.42,8321980
aziz bhatti town,flat,old,1909,5,4,21,3.99,0.97,49955964
aziz bhatti town,plot,used,630,5,1,1,1.08,0.55,10326908
university road,flat,new,1128,5,2,33,2.13,0.65,17944815
wapda town,flat,old,1334,6,1,9,2.07,0.64,12701906
satellite town,plot,used,4620,2,4,16,1.73,0.49,34843186
university road,flat,new,3966,1,3,13,3.91,0.43,44319436
university road,plot,old,4312,6,4,4,4.96,0.68,77211894
satellite town,house,new,4664,4,4,12,4.38,0.41,40069769
wapda town,plot,old,4758,6,3,7,2.93,1.1,81881842
aziz bhatti town,flat,used,2875,1,2,12,1.08,0.79,59170605
satellite town,flat,used,5957,1,2,7,3.47,0.8,78428074
wapda town,house,used,5632,1,2,23,2.88,0.73,55443169
aziz bhatti town,flat,new,1583,5,5,26,1.09,1.13,57588239
model town,flat,new,4915,6,1,32,3.54,0.98,91050438
satellite town,flat,used,4140,3,3,8,1.45,1.05,70180603
satellite town,flat,new,615,2,3,7,1.84,0.9,10104860
wapda town,plot,old,5270,1,1,27,3.49,0.47,30499560
university road,flat,used,3911,4,4,26,2.34,0.96,83439523
university road,plot,old,785,2,2,9,4.05,0.88,14051649
wapda town,flat,old,3062,2,1,33,1.29,0.68,24311387
satellite town,flat,used,4244,4,4,34,1.35,1.09,74062797
satellite town,flat,used,4208,3,5,7,4.47,0.75,57946183
satellite town,house,old,5210,3,3,17,1.51,1.01,70446692
model town,plot,new,5869,1,1,11,1.57,1.16,116004916
university road,house,old,4313,4,3,20,4.48,0.53,46726260
model town,flat,new,1285,2,3,3,1.87,1.01,23864316
satellite town,house,old,5900,5,1,16,3.9,1.1,98264515
university road,house,new,5588,5,2,6,3.5,0.63,96773375
satellite town,house,new,2236,4,4,9,2.32,0.68,30347709
satellite town,plot,old,3125,4,2,21,4.33,0.53,24177195
wapda town,flat,new,859,4,4,12,4.36,0.91,14787850
university road,flat,old,5107,5,2,10,1.14,0.46,49011224
satellite town,plot,old,3034,5,4,30,2.75,0.66,31276387
aziz bhatti town,plot,old,5414,1,5,33,2.48,0.4,52697156
aziz bhatti town,flat,old,4964,6,4,21,1.88,0.48,63904478
satellite town,flat,used,2292,3,4,24,4.77,0.77,29190886
wapda town,house,old,1969,3,4,25,1.8,1.03,25418349
satellite town,plot,new,4285,1,1,4,3.08,0.97,78944405
aziz bhatti town,flat,old,5563,6,3,25,1.83,1.04,150591527
university road,flat,new,3522,2,1,30,2.07,1.11,86856472
wapda town,house,new,5417,1,1,19,4.18,0.54,45552175
satellite town,flat,new,2540,5,2,30,3.72,0.41,19539752
aziz bhatti town,plot,used,3364,5,5,10,2.97,0.72,79224588
university road,plot,used,5630,1,5,26,1.83,0.63,76243346
aziz bhatti town,plot,old,4888,5,5,1,4.96,0.91,142639123
wapda town,house,new,2343,2,2,6,1.21,1.17,43209405
model town,house,used,5273,5,4,19,1.08,0.92,78215163
satellite town,plot,old,4920,2,3,3,4.98,0.46,37184585
university road,flat,used,5836,3,5,6,1.7,0.63,85631991
wapda town,flat,new,1105,1,1,0,3.96,1.03,19933482
wapda town,flat,old,5548,5,5,19,4.56,0.92,77255554
model town,plot,old,3329,3,5,15,1.47,0.73,36180130
model town,plot,used,2332,2,3,3,4.7,0.56,22924498
satellite town,plot,new,1480,4,5,19,1.54,1.11,30434193
satellite town,house,new,3190,6,2,1,2.88,1.11,76973501
wapda town,house,new,3289,5,3,13,2.24,0.52,31325776
satellite town,plot,used,2332,3,2,25,2.45,1.08,37216572
satellite town,plot,old,3536,5,2,29,1.34,1.04,52357176
model town,flat,used,3171,6,3,30,3.63,0.84,46402889
wapda town,house,used,2830,2,2,3,3.5,1.15,50347115
aziz bhatti town,flat,used,4607,4,5,29,4.41,0.86,117712729
aziz bhatti town,plot,used,620,5,4,23,4.85,0.56,10615710
university road,plot,used,3648,5,3,7,1.63,0.52,45845235
model town,house,old,4027,6,1,15,1.77,1.09,69457709
university road,house,old,1172,2,4,30,4.13,0.68,15838406
wapda town,flat,old,4210,4,4,0,3.57,0.73,47703216
aziz bhatti town,flat,new,2024,4,5,23,2.85,0.83,53891350
aziz bhatti town,house,used,5620,6,2,18,3.58,0.7,115196434
aziz bhatti town,plot,new,2111,5,2,28,1.02,1.06,65975558
university road,house,used,4999,1,2,20,4.27,0.85,88804728
satellite town,flat,old,2331,4,3,6,2.36,1.01,36726954
university road,house,new,2266,6,1,26,4.44,0.42,25719469
aziz bhatti town,flat,used,1198,5,2,2,1.13,0.62,22164454
model town,flat,new,5451,1,4,4,3.15,1.11,118082417
model town,flat,old,2985,3,4,34,4.76,0.69,29664580
university road,plot,new,868,5,1,34,2.15,0.93,19766526
university road,flat,old,945,5,5,23,3.36,0.92,19194836
wapda town,plot,old,5732,1,1,25,3.14,0.42,29400071
university road,plot,old,2861,1,1,3,4.48,0.84,51347798
university road,house,old,1113,3,4,30,4.57,1.15,25696624
aziz bhatti town,plot,used,4956,6,2,21,1.11,1.04,142172736
satellite town,plot,old,4723,2,3,27,4.39,0.97,65692924
aziz bhatti town,house,used,3332,3,5,0,1.77,0.66,66063690
satellite town,house,old,2198,2,3,26,2.21,0.93,27838928
aziz bhatti town,flat,old,5808,3,1,1,4.55,0.8,123110178
aziz bhatti town,plot,used,1284,2,5,29,3.31,0.83,29390963
wapda town,flat,new,4937,2,2,20,4.48,0.83,64254662
satellite town,plot,new,3412,4,2,20,3.2,0.64,38633877
aziz bhatti town,plot,used,3671,4,3,3,3.57,0.57,65123256
aziz bhatti town,flat,used,2370,1,1,9,3.48,0.52,34029028
satellite town,plot,used,2743,3,2,7,1.4,0.85,36500415
wapda town,plot,used,3180,4,1,26,4.99,0.55,26012910
satellite town,house,new,3491,4,2,11,1.77,1.17,75884914
wapda town,plot,used,2679,6,5,5,4.83,0.79,42325002
wapda town,flat,new,5987,5,4,22,2.46,1.16,121079045
model town,plot,used,2346,3,1,22,1.42,0.88,28788967
wapda town,house,new,4217,2,3,32,3.26,0.6,39718740
model town,house,used,4362,4,1,21,4.42,0.45,30874247
university road,house,old,2781,1,2,4,4.05,0.67,39417048
wapda town,flat,used,2510,5,5,13,4.33,0.48,21907401
satellite town,house,old,3710,4,3,24,2.44,0.86,45879711
model town,plot,new,4877,5,4,0,2.85,0.98,101872150
university road,plot,new,3794,1,4,31,2.91,0.85,77500576
university road,plot,used,5365,2,1,0,1.31,0.54,63763027
wapda town,plot,used,4176,2,1,2,4.3,0.99,65160583
satellite town,flat,used,3871,5,5,15,2.2,0.98,72616841
wapda town,flat,used,5645,2,1,5,2.62,0.76,64995157
aziz bhatti town,plot,old,5641,4,1,19,1.53,0.55,71060520
university road,plot,used,1456,2,2,7,4.36,0.44,14583528
aziz bhatti town,house,old,1345,6,2,28,2.57,0.79,27338264
aziz bhatti town,flat,old,2483,2,1,10,4.81,0.63,40090953
model town,plot,old,2635,5,5,12,1.71,1.1,47749339
aziz bhatti town,house,old,4098,6,4,19,1.04,0.88,94731866
university road,flat,new,684,2,4,15,1.71,0.68,11801828
university road,plot,old,2831,1,1,12,3.02,0.93,52273391
satellite town,house,used,4789,5,2,27,4.86,0.4,32947743
wapda town,flat,old,3561,2,2,15,4.39,0.81,39423683
satellite town,flat,new,5151,1,2,17,1.54,0.81,67536394
satellite town,flat,used,2803,1,2,32,3.15,0.5,21059604
wapda town,plot,old,2864,3,3,2,1.31,0.47,18309006
university road,flat,used,4430,2,3,31,2.72,1.03,94704279
model town,plot,used,5247,4,4,5,3.65,1.17,113651646
aziz bhatti town,plot,new,5502,5,4,30,2.3,0.62,110022139
model town,flat,old,3389,4,4,27,1.16,1.11,52208957
aziz bhatti town,plot,used,4919,4,2,30,2.23,0.98,124797738
wapda town,plot,old,4169,5,4,29,1.77,1.08,62028787
wapda town,house,old,4099,3,3,14,2.0,0.53,28899173
satellite town,flat,old,1672,4,4,0,1.54,0.41,11218804
wapda town,house,new,1983,4,5,12,1.74,0.56,20297083
aziz bhatti town,house,used,4557,2,5,3,4.36,0.83,120842468
model town,flat,used,5954,4,5,23,3.12,0.58,57432811
model town,plot,old,642,3,1,7,3.82,0.72,6680176
model town,house,new,4007,1,3,34,2.14,0.74,48550051
model town,plot,used,4048,3,5,16,2.01,1.02,63676038
satellite town,plot,used,3416,1,4,8,2.69,0.77,45042040
model town,house,new,1622,2,4,22,3.5,0.98,27669979
aziz bhatti town,plot,used,2106,1,2,28,2.53,1.01,52825407
satellite town,flat,old,5642,6,3,18,3.68,0.88,80533629
satellite town,house,old,4474,6,1,31,4.49,0.41,29435344
satellite town,plot,old,1565,6,1,16,3.54,0.55,13510592
wapda town,house,used,5497,5,1,12,3.9,0.83,75356696
satellite town,house,old,1523,5,2,12,4.61,0.59,15032973
aziz bhatti town,flat,old,3565,4,3,2,3.59,1.15,114889606
model town,plot,used,5600,2,3,32,1.37,0.46,36953955
wapda town,flat,new,2495,6,5,7,2.77,0.85,43527563
model town,house,used,1362,2,2,22,3.53,0.82,16387225
university road,plot,old,4059,4,3,11,3.36,0.42,36902231
wapda town,house,new,644,4,3,23,3.6,1.06,11342316
aziz bhatti town,plot,used,3324,2,4,27,3.76,0.55,49552828
wapda town,flat,used,3385,3,4,30,3.65,0.98,48290924
satellite town,house,new,4855,6,1,2,3.63,1.08,116024373
wapda town,plot,used,5725,2,2,23,3.72,0.44,34650960
satellite town,flat,new,4008,6,1,6,4.04,1.03,88679813
model town,flat,used,2682,3,2,1,1.71,0.84,35768750
wapda town,house,old,5763,1,3,31,1.92,0.99,69687525
wapda town,flat,used,1498,1,1,22,3.38,0.85,17375910
aziz bhatti town,plot,used,2402,2,2,26,2.02,0.75,44190722
university road,house,used,1249,2,3,20,4.36,0.48,12932345
wapda town,house,new,3359,3,5,12,1.13,1.12,64507431
model town,plot,new,1150,1,1,5,1.53,0.85,17305175
satellite town,flat,old,1637,6,3,26,3.39,0.81,21361621
model town,plot,new,5899,3,1,34,3.77,0.8,77991047
aziz bhatti town,plot,used,3653,3,5,8,4.01,1.04,115769007
wapda town,house,used,1308,2,3,9,2.82,0.84,16564423
university road,house,used,5351,3,5,6,2.13,1.02,128463465
university road,plot,used,3795,5,1,6,4.61,0.74,70726403
wapda town,flat,used,2954,2,2,27,3.14,0.61,24450668
university road,house,new,1376,6,5,24,1.22,0.49,18388490
model town,plot,old,2834,6,3,0,1.2,1.16,54944733
satellite town,house,old,1364,3,5,30,3.98,0.84,17222199
wapda town,flat,used,2005,5,1,25,3.47,0.65,19604625
satellite town,house,old,3654,1,4,26,3.46,1.15,60681216
university road,flat,new,5746,4,3,23,3.66,0.91,130502713
aziz bhatti town,flat,new,2869,4,5,9,3.3,1.2,121338700
satellite town,plot,new,5258,5,1,13,2.65,0.99,103503061
aziz bhatti town,plot,used,4764,3,1,26,3.68,1.05,127669349
model town,flat,old,945,6,2,31,4.45,0.47,6890946
aziz bhatti town,house,used,2528,5,3,28,3.15,0.99,71472823
satellite town,plot,old,4829,6,2,30,1.09,0.81,57859964
satellite town,flat,used,909,4,2,13,1.62,0.57,8563270
wapda town,house,new,5972,4,2,23,3.25,0.44,42039968
aziz bhatti town,house,old,658,4,3,29,1.25,0.44,6782888
model town,plot,old,4409,4,3,24,3.32,1.19,74562566
wapda town,house,used,2655,6,4,6,4.89,0.91,45242151
wapda town,plot,used,5460,1,3,24,2.32,1.16,86796865
model town,house,old,1259,6,5,25,2.75,0.75,15343675
wapda town,house,new,3432,5,2,13,1.91,0.65,39352186
model town,flat,used,1384,6,4,32,3.22,0.57,14007220
university road,house,old,3886,3,2,1,2.41,0.88,69586637
wapda town,house,old,1409,1,1,20,4.95,0.65,11664915
satellite town,house,old,3091,2,1,29,1.76,0.8,32338897
university road,plot,new,2709,2,5,30,3.78,1.07,73118153
wapda town,flat,new,3524,3,5,3,1.4,0.63,39856918
